horizon,mse,rmse,mae,mape,mdape,smape,coverage
139 days,4035.334140259098,63.52427992711998,58.72097550596201,0.08519454522852621,0.08580108672181597,0.08096015175240784,0.1111111111111111
140 days,5348.369175736408,73.1325452567898,67.09038355349506,0.09902748270134015,0.08905157835595531,0.09321039398829549,0.05555555555555555
141 days,5191.185582166625,72.04988259648051,64.57485783000473,0.09498306471653944,0.08905157835595531,0.08935083653094253,0.1111111111111111
142 days,5308.549880395806,72.8597960496446,65.50110999105007,0.09624126935778482,0.09162317112653733,0.0904966367626391,0.1111111111111111
143 days,5317.436849740167,72.9207573310931,65.63831472064383,0.09661491984616526,0.09162317112653733,0.09085317926009048,0.1111111111111111
144 days,5752.237378829039,75.84350584479226,68.41596214568848,0.10300296522191242,0.09235472400562283,0.09652130051349427,0.1111111111111111
145 days,5621.227581289372,74.97484632387966,67.39645338880496,0.10274535038975145,0.09162317112653733,0.0962854304527267,0.1111111111111111
146 days,5883.619801755421,76.70475736064498,68.96047030299239,0.10553084061755874,0.09407827147732194,0.09877404093262065,0.1111111111111111
147 days,6025.830874693385,77.6262254311865,69.90297629195256,0.10741816443378022,0.0997045381966358,0.10047107919079229,0.1111111111111111
148 days,5738.964187109127,75.75595149629584,66.48048355840709,0.10163658474464339,0.09188235906090109,0.09504656915879234,0.16666666666666666
149 days,5885.250838291767,76.71538853640622,67.65849332926967,0.10386498203977251,0.0997045381966358,0.09708621973041781,0.16666666666666666
150 days,5851.410367930073,76.49451201184353,67.3886947510477,0.104385476478097,0.09997122682624718,0.09756204664554849,0.16666666666666666
151 days,5861.721842364678,76.56188243744192,67.50400645479289,0.10502692079429962,0.09997122682624718,0.09816669855204899,0.16666666666666666
152 days,5759.505200417178,75.89140399555919,66.74489108183639,0.10469858015682988,0.09757158310849134,0.09786934805811873,0.16666666666666666
153 days,5756.748594388615,75.87324030505495,66.72388520449925,0.1050487900916342,0.10045678389211878,0.0981872791269212,0.16666666666666666
154 days,5034.425771730007,70.95368751326464,62.85531035428349,0.09750505203735134,0.09757158310849134,0.09167403892642897,0.16666666666666666
155 days,4921.308398757759,70.1520377377433,60.39945056444526,0.09407465423216982,0.09757158310849134,0.088350019688744,0.2222222222222222
156 days,4996.378568279637,70.6850660909335,60.93625590042274,0.09470495240996701,0.09757158310849134,0.08891676930582024,0.2222222222222222
157 days,5165.906933334581,71.87424388008948,62.527077370834654,0.09696082607455422,0.09804632803608906,0.09100847024485222,0.2222222222222222
158 days,3992.741420702323,63.18814303888288,56.77739845795061,0.08745841533215502,0.0969325622088694,0.08290760881738186,0.2222222222222222
159 days,4139.962244291143,64.342538373079,59.199001567620975,0.0915019916484967,0.0969325622088694,0.0867663911282389,0.16666666666666666
160 days,3963.003880058515,62.95239375955862,57.67215783163644,0.08925853237772133,0.09214904769051244,0.08470582525778038,0.16666666666666666
161 days,4108.92914471221,64.10092935919268,59.209588348645134,0.09142277782382108,0.09310035079377671,0.08672583379928919,0.1111111111111111
162 days,4323.309194113677,65.75187597410189,60.16759457843614,0.09183391065924039,0.09310035079377671,0.08707023587658468,0.1111111111111111
163 days,4226.874767474835,65.01441968882622,59.10900514098418,0.08984160119726196,0.09310035079377671,0.08521009144192619,0.16666666666666666
164 days,4525.5454944879,67.27217474177492,60.46461837134181,0.09405268634217613,0.09310035079377671,0.08875863297301748,0.16666666666666666
165 days,4538.98616539121,67.37199837759906,60.544017228089764,0.09423700627230686,0.09310035079377671,0.08892146705257757,0.16666666666666666
166 days,5350.564548853753,73.14755326635165,66.67001159749037,0.10562044330763042,0.0969325622088694,0.09911638390441961,0.1111111111111111
167 days,5561.463177896207,74.5752182557732,67.92548148954688,0.10808164283569714,0.0969325622088694,0.10128087489290379,0.1111111111111111
168 days,5743.004379211077,75.78261264439935,69.19176494733149,0.10892652201607737,0.09804632803608906,0.10204425935722082,0.1111111111111111
169 days,6074.560484476775,77.93946679620521,71.6380932493302,0.11269731112839605,0.10045678389211878,0.10546645004928039,0.1111111111111111
170 days,6268.839436214103,79.1760029062727,72.97711170953549,0.11447878377307075,0.10694693068832112,0.10705997527596176,0.1111111111111111
171 days,6164.798056586049,78.51622798241169,72.06841883728491,0.11259621856332952,0.1045364748322914,0.10532813514898605,0.1111111111111111
172 days,6424.675153061854,80.15407134426707,73.81764195247469,0.11547730416286618,0.11324782304984404,0.10791332918824663,0.1111111111111111
173 days,7157.845806352388,84.60405313194154,80.1484693906746,0.12677201961500645,0.12217584696925363,0.11815498523779139,0.05555555555555555
174 days,7123.779639690696,84.40248598051302,79.91399626226604,0.1258577706961255,0.12059366644752527,0.11733091128771145,0.05555555555555555
175 days,7097.166746356355,84.2446837869094,79.71170941900547,0.1256640304296941,0.12059366644752527,0.11715445504568388,0.05555555555555555
176 days,8049.893846742875,89.72120065370768,84.71169982783516,0.13372329104104141,0.13013677345339508,0.12410515127655544,0.05555555555555555
177 days,8269.157832670668,90.93490986783166,86.34963127207274,0.1360999073054035,0.13013677345339508,0.12624992004820113,0.05555555555555555
178 days,8496.456885166275,92.17622733203109,88.21332669433554,0.13872380304883108,0.13013677345339508,0.12865210147599088,0.05555555555555555
179 days,9001.66559646278,94.87710786308139,91.1059266091976,0.14531500600901187,0.13217877333558836,0.13436500807031,0.05555555555555555
180 days,8422.121170714803,91.77211543118533,87.96428548152153,0.14071407995848337,0.13013677345339508,0.13037284268933796,0.05555555555555555
